Rank,Name,Tm,League,Year,Vote.Pts,X1st.Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO
1,George Bell,TOR,AL,1987,332,16,85%,5,156,610,111,188,47,134,5,39,0.308,0.352,0.605,0.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Alan Trammell,DET,AL,1987,311,12,79%,8.2,151,597,109,205,28,105,21,60,0.343,0.402,0.551,0.953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Kirby Puckett,MIN,AL,1987,201,0,51%,4.2,157,624,96,207,28,99,12,32,0.332,0.367,0.534,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Dwight Evans,BOS,AL,1987,127,0,32%,4.8,154,541,109,165,34,123,4,106,0.305,0.417,0.569,0.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Paul Molitor,MIL,AL,1987,125,0,32%,6,118,465,114,164,16,75,45,69,0.353,0.438,0.566,1.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Mark McGwire,OAK,AL,1987,109,0,28%,5.1,151,557,97,161,49,118,1,71,0.289,0.37,0.618,0.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Don Mattingly,NYY,AL,1987,92,0,23%,5.1,141,569,93,186,30,115,1,51,0.327,0.378,0.559,0.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Tony Fernández,TOR,AL,1987,79,0,20%,5.1,146,578,90,186,5,67,32,51,0.322,0.379,0.426,0.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Wade Boggs,BOS,AL,1987,64,0,16%,8.3,147,551,108,200,24,89,1,105,0.363,0.461,0.588,1.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,José Canseco,OAK,AL,1988,392,28,100%,7.3,158,610,120,187,42,124,40,78,0.307,0.391,0.569,0.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Mike Greenwell,BOS,AL,1988,242,0,62%,7.5,158,590,86,192,22,119,16,87,0.325,0.416,0.531,0.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Kirby Puckett,MIN,AL,1988,219,0,56%,7.8,158,657,109,234,24,121,6,23,0.356,0.375,0.545,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Dave Winfield,NYY,AL,1988,164,0,42%,5.4,149,559,96,180,25,107,9,69,0.322,0.398,0.53,0.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Dennis Eckersley,OAK,AL,1988,156,0,40%,2.3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,2,2.35,0.867,60,0,45,72.2,52,5,11,70
6,Wade Boggs,BOS,AL,1988,107,0,27%,8.3,155,584,128,214,5,58,2,125,0.366,0.476,0.49,0.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Alan Trammell,DET,AL,1988,62,0,16%,6,128,466,73,145,15,69,7,46,0.311,0.373,0.464,0.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Paul Molitor,MIL,AL,1988,50,0,13%,5.2,154,609,115,190,13,60,41,71,0.312,0.384,0.452,0.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Dwight Evans,BOS,AL,1988,49,0,13%,3.2,149,559,96,164,21,111,5,76,0.293,0.375,0.487,0.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Robin Yount,MIL,AL,1989,256,8,65%,5.8,160,614,101,195,21,103,19,63,0.318,0.384,0.511,0.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Rubén Sierra,TEX,AL,1989,228,6,58%,5.9,162,634,101,194,29,119,8,43,0.306,0.347,0.543,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Cal Ripken Jr.,BAL,AL,1989,216,6,55%,6.7,162,646,80,166,21,93,3,57,0.257,0.317,0.401,0.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,George Bell,TOR,AL,1989,205,4,52%,3,153,613,88,182,18,104,4,33,0.297,0.33,0.458,0.788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Dennis Eckersley,OAK,AL,1989,116,3,30%,2.6,1,0,0,0,0,0,0,0,NA,NA,NA,NA,4,0,1.56,0.607,51,0,33,57.2,32,5,3,55
6,Fred McGriff,TOR,AL,1989,96,0,24%,6.6,161,551,98,148,36,92,7,119,0.269,0.399,0.525,0.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Kirby Puckett,MIN,AL,1989,84,0,21%,4.9,159,635,75,215,9,85,11,41,0.339,0.379,0.465,0.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Bret Saberhagen,KCR,AL,1989,82,0,21%,9.7,3,0,1,0,0,0,0,0,NA,NA,NA,NA,23,6,2.16,0.961,36,35,0,262.1,209,13,43,193
9,Rickey Henderson,TOT,AL,1989,67,0,17%,8.7,150,541,113,148,12,57,77,126,0.274,0.411,0.399,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Rickey Henderson,OAK,AL,1990,317,14,81%,9.9,136,489,119,159,28,61,65,97,0.325,0.439,0.577,1.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Cecil Fielder,DET,AL,1990,286,10,73%,6.5,159,573,104,159,51,132,0,90,0.277,0.377,0.592,0.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Roger Clemens,BOS,AL,1990,212,3,54%,10.4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,21,6,1.93,1.082,31,31,0,228.1,193,7,54,209
4,Kelly Gruber,TOR,AL,1990,175,0,45%,4.2,150,592,92,162,31,118,14,48,0.274,0.33,0.512,0.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Bobby Thigpen,CHW,AL,1990,170,0,43%,3.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,6,1.83,1.038,77,0,57,88.2,60,5,32,70
6,Dennis Eckersley,OAK,AL,1990,112,1,29%,3.3,2,0,0,0,0,0,0,0,NA,NA,NA,NA,4,2,0.61,0.614,63,0,48,73.1,41,2,4,73
7,George Brett,KCR,AL,1990,60,0,15%,4.1,142,544,82,179,14,87,9,56,0.329,0.387,0.515,0.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Dave Stewart,OAK,AL,1990,56,0,14%,5.2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,22,11,2.56,1.157,36,36,0,267,226,16,83,166
9,Bob Welch,OAK,AL,1990,54,0,14%,2.9,0,0,0,0,0,0,0,0,NA,NA,NA,NA,27,6,2.95,1.223,35,35,0,238,214,26,77,127
1,Cal Ripken Jr.,BAL,AL,1991,318,15,81%,11.5,162,650,99,210,34,114,6,53,0.323,0.374,0.566,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Cecil Fielder,DET,AL,1991,286,9,73%,3.8,162,624,102,163,44,133,0,78,0.261,0.347,0.513,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Frank Thomas,CHW,AL,1991,181,1,46%,7,158,559,104,178,32,109,1,138,0.318,0.453,0.553,1.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,José Canseco,OAK,AL,1991,145,0,37%,5.3,154,572,115,152,44,122,26,78,0.266,0.359,0.556,0.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Joe Carter,TOR,AL,1991,136,1,35%,4.7,162,638,89,174,33,108,20,49,0.273,0.33,0.503,0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Roberto Alomar,TOR,AL,1991,128,2,33%,4.6,161,637,88,188,9,69,53,57,0.295,0.354,0.436,0.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Kirby Puckett,MIN,AL,1991,78,0,20%,4.3,152,611,92,195,15,89,11,31,0.319,0.352,0.46,0.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Rubén Sierra,TEX,AL,1991,63,0,16%,5.1,161,661,110,203,25,116,16,56,0.307,0.357,0.502,0.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Ken Griffey Jr.,SEA,AL,1991,62,0,16%,7.1,154,548,76,179,22,100,18,71,0.327,0.399,0.527,0.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Dennis Eckersley,OAK,AL,1992,306,15,78%,2.9,0,0,0,0,0,0,0,0,NA,NA,NA,NA,7,1,1.91,0.913,69,0,51,80,62,5,11,93
2,Kirby Puckett,MIN,AL,1992,209,3,53%,7.1,160,639,104,210,19,110,17,44,0.329,0.374,0.49,0.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Joe Carter,TOR,AL,1992,201,4,51%,2.5,158,622,97,164,34,119,12,36,0.264,0.309,0.498,0.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Mark McGwire,OAK,AL,1992,155,1,40%,6.5,139,467,87,125,42,104,0,90,0.268,0.385,0.585,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Dave Winfield,TOR,AL,1992,141,2,36%,4.1,156,583,92,169,26,108,2,82,0.29,0.377,0.491,0.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Roberto Alomar,TOR,AL,1992,118,3,30%,6.6,152,571,105,177,8,76,49,87,0.31,0.405,0.427,0.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Mike Devereaux,BAL,AL,1992,109,0,28%,4.5,156,653,76,180,24,107,10,44,0.276,0.321,0.464,0.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Frank Thomas,CHW,AL,1992,108,0,28%,7,160,573,108,185,24,115,6,122,0.323,0.439,0.536,0.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Cecil Fielder,DET,AL,1992,83,0,21%,2.8,155,594,80,145,35,124,0,73,0.244,0.325,0.458,0.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Frank Thomas,CHW,AL,1993,392,28,100%,6.2,153,549,106,174,41,128,4,112,0.317,0.426,0.607,1.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Paul Molitor,TOR,AL,1993,209,0,53%,5.6,160,636,121,211,22,111,22,77,0.332,0.402,0.509,0.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,John Olerud,TOR,AL,1993,198,0,51%,7.8,158,551,109,200,24,107,0,114,0.363,0.473,0.599,1.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Juan González,TEX,AL,1993,185,0,47%,6.5,140,536,105,166,46,118,4,37,0.31,0.368,0.632,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Ken Griffey Jr.,SEA,AL,1993,182,0,46%,8.8,156,582,113,180,45,109,17,96,0.309,0.408,0.617,1.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Roberto Alomar,TOR,AL,1993,102,0,26%,6.1,153,589,109,192,17,93,55,80,0.326,0.408,0.492,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Albert Belle,CLE,AL,1993,81,0,21%,4.7,159,594,93,172,38,129,23,76,0.29,0.37,0.552,0.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Rafael Palmeiro,TEX,AL,1993,52,0,13%,6.9,160,597,124,176,37,105,22,73,0.295,0.371,0.554,0.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Jack McDowell,CHW,AL,1993,51,0,13%,4.4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,22,10,3.37,1.286,34,34,0,256.2,261,20,69,158
1,Frank Thomas,CHW,AL,1994,372,24,95%,6.4,113,399,106,141,38,101,2,109,0.353,0.487,0.729,1.217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ken Griffey Jr.,SEA,AL,1994,233,3,59%,6.9,111,433,94,140,40,90,11,56,0.323,0.402,0.674,1.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Albert Belle,CLE,AL,1994,225,0,57%,5.7,106,412,90,147,36,101,9,58,0.357,0.438,0.714,1.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Kenny Lofton,CLE,AL,1994,181,1,46%,7.2,112,459,105,160,12,57,60,52,0.349,0.412,0.536,0.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Paul O'Neill,NYY,AL,1994,150,0,38%,4.3,103,368,68,132,21,83,5,72,0.359,0.46,0.603,1.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Jimmy Key,NYY,AL,1994,102,0,26%,4.4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,17,4,3.27,1.363,25,25,0,168,177,10,52,97
7,Kirby Puckett,MIN,AL,1994,100,0,26%,3.6,108,439,79,139,20,112,6,28,0.317,0.362,0.54,0.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Julio Franco,CHW,AL,1994,49,0,13%,3,112,433,72,138,20,98,8,62,0.319,0.406,0.51,0.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,David Cone,KCR,AL,1994,40,0,10%,6.9,0,0,0,0,0,0,0,0,NA,NA,NA,NA,16,5,2.94,1.072,23,23,0,171.2,130,15,54,132
1,Mo Vaughn,BOS,AL,1995,308,12,79%,4.3,140,550,98,165,39,126,11,68,0.3,0.388,0.575,0.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Albert Belle,CLE,AL,1995,300,11,77%,7,143,546,121,173,50,126,5,73,0.317,0.401,0.69,1.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Edgar Martínez,SEA,AL,1995,244,4,62%,7,145,511,121,182,29,113,4,116,0.356,0.479,0.628,1.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,José Mesa,CLE,AL,1995,130,1,33%,3.9,1,0,0,0,0,0,0,0,NA,NA,NA,NA,3,0,1.13,1.031,62,0,46,64,49,3,17,58
5,Jay Buhner,SEA,AL,1995,120,0,31%,2.4,126,470,86,123,40,121,0,60,0.262,0.343,0.566,0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Randy Johnson,SEA,AL,1995,111,0,28%,8.6,0,0,0,0,0,0,0,0,NA,NA,NA,NA,18,2,2.48,1.045,30,30,0,214.1,159,12,65,294
7,Tim Salmon,CAL,AL,1995,110,0,28%,6.6,143,537,111,177,34,105,5,91,0.33,0.429,0.594,1.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Frank Thomas,CHW,AL,1995,86,0,22%,5.3,145,493,102,152,40,111,3,136,0.308,0.454,0.606,1.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,John Valentin,BOS,AL,1995,57,0,15%,8.3,135,520,108,155,27,102,20,81,0.298,0.399,0.533,0.931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Juan González,TEX,AL,1996,290,11,74%,3.8,134,541,89,170,47,144,2,45,0.314,0.368,0.643,1.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Alex Rodriguez,SEA,AL,1996,287,10,73%,9.4,146,601,141,215,36,123,15,59,0.358,0.414,0.631,1.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Albert Belle,CLE,AL,1996,228,2,58%,5.7,158,602,124,187,48,148,11,99,0.311,0.41,0.623,1.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Ken Griffey Jr.,SEA,AL,1996,188,4,48%,9.7,140,545,125,165,49,140,16,78,0.303,0.392,0.628,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Mo Vaughn,BOS,AL,1996,132,0,34%,5.6,161,635,118,207,44,143,2,95,0.326,0.42,0.583,1.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Rafael Palmeiro,BAL,AL,1996,104,0,27%,4.5,162,626,110,181,39,142,8,95,0.289,0.381,0.546,0.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Mark McGwire,OAK,AL,1996,100,0,26%,6.4,130,423,104,132,52,113,0,116,0.312,0.467,0.73,1.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Frank Thomas,CHW,AL,1996,88,0,22%,5.6,141,527,110,184,40,134,1,109,0.349,0.459,0.626,1.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Brady Anderson,BAL,AL,1996,53,0,14%,6.9,149,579,117,172,50,110,21,76,0.297,0.396,0.637,1.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Ken Griffey Jr.,SEA,AL,1997,392,28,100%,9.1,157,608,125,185,56,147,15,76,0.304,0.382,0.646,1.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Tino Martinez,NYY,AL,1997,248,0,63%,5.1,158,594,96,176,44,141,3,75,0.296,0.371,0.577,0.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Frank Thomas,CHW,AL,1997,172,0,44%,7.3,146,530,110,184,35,125,1,109,0.347,0.456,0.611,1.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Randy Myers,BAL,AL,1997,128,0,33%,3.1,4,0,0,0,0,0,0,0,NA,NA,NA,NA,2,3,1.51,1.156,61,0,45,59.2,47,2,22,56
5,David Justice,CLE,AL,1997,90,0,23%,3.8,139,495,84,163,33,101,3,80,0.329,0.418,0.596,1.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Jim Thome,CLE,AL,1997,89,0,23%,5.5,147,496,104,142,40,102,1,120,0.286,0.423,0.579,1.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Tim Salmon,ANA,AL,1997,84,0,21%,5,157,582,95,172,33,129,9,95,0.296,0.394,0.517,0.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Nomar Garciaparra,BOS,AL,1997,83,0,21%,6.6,153,684,122,209,30,98,22,35,0.306,0.342,0.534,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Juan González,TEX,AL,1997,66,0,17%,2.7,133,533,87,158,42,131,0,33,0.296,0.335,0.589,0.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Juan González,TEX,AL,1998,357,21,91%,4.9,154,606,110,193,45,157,2,46,0.318,0.366,0.63,0.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Nomar Garciaparra,BOS,AL,1998,232,5,59%,7.1,143,604,111,195,35,122,12,33,0.323,0.362,0.584,0.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Derek Jeter,NYY,AL,1998,180,2,46%,7.5,149,626,127,203,19,84,30,57,0.324,0.384,0.481,0.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Ken Griffey Jr.,SEA,AL,1998,135,0,34%,6.6,161,633,120,180,56,146,20,76,0.284,0.365,0.611,0.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Mo Vaughn,BOS,AL,1998,135,0,34%,5.6,154,609,107,205,40,115,0,61,0.337,0.402,0.591,0.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Manny Ramirez,CLE,AL,1998,127,0,32%,5.3,150,571,108,168,45,145,5,76,0.294,0.377,0.599,0.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bernie Williams,NYY,AL,1998,103,0,26%,5.2,128,499,101,169,26,97,15,74,0.339,0.422,0.575,0.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Albert Belle,CHW,AL,1998,98,0,25%,7.1,163,609,113,200,49,152,6,81,0.328,0.399,0.655,1.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Alex Rodriguez,SEA,AL,1998,92,0,23%,8.5,161,686,123,213,42,124,46,45,0.31,0.36,0.56,0.919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Iván Rodríguez,TEX,AL,1999,252,7,64%,6.4,144,600,116,199,35,113,25,24,0.332,0.356,0.558,0.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Pedro Martinez,BOS,AL,1999,239,8,61%,9.8,2,2,0,0,0,0,0,0,0,0,0,0,23,4,2.07,0.923,31,29,0,213.1,160,9,37,313
3,Roberto Alomar,CLE,AL,1999,226,4,58%,7.4,159,563,138,182,24,120,37,99,0.323,0.422,0.533,0.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Manny Ramirez,CLE,AL,1999,226,4,58%,7.3,147,522,131,174,44,165,2,96,0.333,0.442,0.663,1.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Rafael Palmeiro,TEX,AL,1999,193,4,49%,5.2,158,565,96,183,47,148,2,97,0.324,0.42,0.63,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Derek Jeter,NYY,AL,1999,177,1,45%,8,158,627,134,219,24,102,19,91,0.349,0.438,0.552,0.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Nomar Garciaparra,BOS,AL,1999,137,0,35%,6.6,135,532,103,190,27,104,14,51,0.357,0.418,0.603,1.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Jason Giambi,OAK,AL,1999,49,0,13%,5.9,158,575,115,181,33,123,1,105,0.315,0.422,0.553,0.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Shawn Green,TOR,AL,1999,44,0,11%,6.4,153,614,134,190,42,123,20,66,0.309,0.384,0.588,0.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Jason Giambi,OAK,AL,2000,317,14,81%,7.8,152,510,108,170,43,137,2,137,0.333,0.476,0.647,1.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Frank Thomas,CHW,AL,2000,285,10,73%,6,159,582,115,191,43,143,1,112,0.328,0.436,0.625,1.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Alex Rodriguez,SEA,AL,2000,218,4,56%,10.4,148,554,134,175,41,132,15,100,0.316,0.42,0.606,1.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Carlos Delgado,TOR,AL,2000,206,0,53%,7.3,162,569,115,196,41,137,0,123,0.344,0.47,0.664,1.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Pedro Martinez,BOS,AL,2000,103,0,26%,11.7,0,0,0,0,0,0,0,0,NA,NA,NA,NA,18,6,1.74,0.737,29,29,0,217,128,17,32,284
6,Edgar Martínez,SEA,AL,2000,97,0,25%,5.7,153,556,100,180,37,145,3,96,0.324,0.423,0.579,1.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Manny Ramirez,CLE,AL,2000,97,0,25%,4.8,118,439,92,154,38,122,1,86,0.351,0.457,0.697,1.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Darin Erstad,ANA,AL,2000,94,0,24%,8.4,157,676,121,240,25,100,28,64,0.355,0.409,0.541,0.951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Nomar Garciaparra,BOS,AL,2000,66,0,17%,7.4,140,529,104,197,21,96,5,61,0.372,0.434,0.599,1.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Ichiro Suzuki,SEA,AL,2001,289,11,74%,7.7,157,692,127,242,8,69,56,30,0.35,0.381,0.457,0.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Jason Giambi,OAK,AL,2001,281,8,72%,9.2,154,520,109,178,38,120,2,129,0.342,0.477,0.66,1.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Bret Boone,SEA,AL,2001,259,7,66%,8.8,158,623,118,206,37,141,5,40,0.331,0.372,0.578,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Roberto Alomar,CLE,AL,2001,165,2,42%,7.3,157,575,113,193,20,100,30,80,0.336,0.415,0.541,0.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Juan González,CLE,AL,2001,156,0,40%,4.4,140,532,97,173,35,140,1,41,0.325,0.37,0.59,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Alex Rodriguez,TEX,AL,2001,141,0,36%,8.3,162,632,133,201,52,135,18,75,0.318,0.399,0.622,1.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Jim Thome,CLE,AL,2001,107,0,27%,5.6,156,526,101,153,49,124,0,111,0.291,0.416,0.624,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Roger Clemens,NYY,AL,2001,67,0,17%,5.6,1,2,0,0,0,0,0,0,0,0,0,0,20,3,3.51,1.257,33,33,0,220.1,205,19,72,213
9,Manny Ramirez,BOS,AL,2001,50,0,13%,5.2,142,529,93,162,41,125,0,81,0.306,0.405,0.609,1.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Miguel Tejada,OAK,AL,2002,356,21,91%,5.7,162,662,108,204,34,131,7,38,0.308,0.354,0.508,0.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Alex Rodriguez,TEX,AL,2002,254,5,65%,8.8,162,624,125,187,57,142,9,87,0.3,0.392,0.623,1.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Alfonso Soriano,NYY,AL,2002,234,2,60%,4.9,156,696,128,209,39,102,41,23,0.3,0.332,0.547,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Garret Anderson,ANA,AL,2002,184,0,47%,5.1,158,638,93,195,29,123,6,30,0.306,0.332,0.539,0.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Jason Giambi,NYY,AL,2002,162,0,41%,7.1,155,560,120,176,41,122,2,109,0.314,0.435,0.598,1.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Torii Hunter,MIN,AL,2002,132,0,34%,3.5,148,561,89,162,29,94,23,35,0.289,0.334,0.524,0.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
